,tsa_wrong,answer,add,delete
0,ride loss.,ride loss,,.
1,arid grain,grid grain,g,a
2,ingredients rol,ingredients roll,l,
3,‘observation levels,observation levels,,‘
4,‘oxide hum.,oxide hum,,‘|.
5,sits computations,sirs computations,r,t
6,‘opposites attesting,opposites attesting,,‘
7,filers cartridges,fillers cartridges,l,
8,‘ornaments crack,ornaments crack,,‘
9,"saddles soils,",saddles soils,,","
10,ring basins.,ring basins,,.
11,fills fans,tills fans,t,f
12,‘ohm game,ohm game,,‘
13,cartier stoppering,carrier stoppering,r,t
14,mist roads.,mist roads,,.
15,lettetheads prime,letterheads prime,r,t
16,‘expansion contract,expansion contract,,‘
17,"deputies balls,",deputies balls,,","
18,bit roots.,bit roots,,.
